0,1,2,3,4
Code,Programme,"2024
Approved
Budget(K)","2025
Approved
Budget(K)","2026
Budget
Estimates(K)"
"1
2
3
5
6
7
8
10
11
12
13
15
16
17
18","Constituency Development
Local Governance
Integrated Development Planning
Public health and Environmental Protection
Housing and Community Amenities
Recreation Culture and Religion
Education and Skills Development
Public Order and Safety
Management and Support Services
Resource Mobilisation and Management
District Health Servcies
Transport Services
Agricultural Services
Fisheries and Livestock
Social Protection and Community Development","30,635,642","36,058,151
1,979,897
5,414,058
1,482,640
10,312,941
278,620
19,241
1,780,776
9,826,446
1,929,441
2,704,308
3,200,587
508,842
486,161
27,121,390","40,032,550
3,504,039
2,871,311
1,982,973
6,673,711
259,999
77,636
1,409,572
12,279,678
2,261,796
2,704,309
6,351,370
494,262
503,176
11,688,147"
,,"4,647,858",,
,,"2,869,275",,
,,"807,750",,
,,"2,589,555",,
,,"10,852",,
,,"19,241",,
,,"1,105,073",,
,,"6,737,685",,
,,"1,892,527",,
,,-,,
,,"3,742,847",,
,,-,,
,,"93,607",,
,,-,,
,Head Total,"55,151,912","103,103,497","93,094,528"
