0,1,2,3,4,5
CODE,REVENUE DESCRIPTION,"APPROVED
BUDGET 2026",,"REVISED
BUDGET 2027","BUDGET
ESTIMATE 2028"
08,National Support (Grants),,,,
001,Constituency Development Fund,"40,032,550",,"42,594,633","45,704,041"
002,Roads Grant,"6,351,370",,"6,757,570","7,250,873"
003,Health Grant,"2,704,308",,"2,877,384","3,087,433"
004,Local Government Equalisation Fund,"9,722,195",,"10,445,526","11,322,950"
005,Grants in lieu of Rates,"500,000",,"532,000","570,836"
099,Other Grants,"12,964,826",,"13,755,202","14,759,331"
,SubItem Total,,"72,275,249","76,962,316","82,695,465"
CODE,REVENUE DESCRIPTION,"APPROVED
BUDGET 2026",,"REVISED
BUDGET 2027","BUDGET
ESTIMATE 2028"
09,Donor Support (Grants),,,,
001,Devolution Capital Grant,"2,694,737",,"2,867,200","3,076,506"
,SubItem Total,,"2,694,737","2,867,200","3,076,506"
