Source_Page,Table_Number,0,1,2,3,4,5,6,7,8,9,10
202,1,"Chisamba will 
strengthen the 
criminal and justice 
system and enhance 
the rule of law","Infrastructure 
Development","Construction and 
operationalisation of 2 
courts (one local and one 
subordinate) CDB","2 courts contructed 
(1 local  1 
subordinate)",,,500000,,1000000,"150000
0",Judiciary
202,1,,,Rehabilitate 1 local court,"1 local court 
rehabilitated",,"30000
0",,,,300000,Judiciary
202,1,,,"Construction of 3 police 
posts","1 Police post 
constructed",,"10000
00",,"100000
0",1000000,"300000
0",Zambia Police
203,2,ECONOMIC TRANSFORMATION AND JOB CREATION,,,,,,,,,,
203,2,Objective: To become an industrialized and diversified district by 2034,,,,,,,,,,
203,2,Strategies,Programmes,Sub Program,Output,"TOTAL 
COST","PROPOSED SOURCE OF 
FUNDS",,,,,
203,2,"Chisamba 
will Improve 
Agricultural 
Production 
and  
Productivity","a)Infrastructur
e 
Development","Construction of 5 staff 
houses for agricultural 
extension officers (2 for 
block officers and 3 for 
camp officers)","5 agricultural staff houses 
constructed","2,500,000  MOA/ COUNCIL/",PARTNERS,,,,,
203,2,,,"Rehabilitation of  5 
camp houses for 
agricultural extension 
officers","5 Agricultural staff houses 
rehabilitated","1,250,000  MOA/ COUNCIL/",PARTNERS,,,,,
203,2,,,"Construction of  7 
Veterinary camp houses","7 veterinary staff houses 
constructed","3,500,000","MFL/ COUNCIL/ 
PARTNERS",,,,,
203,2,,,"Rehabilitation of 5 
veterinary camp houses","5 Veterinary houses 
rehabilitated","1,250,000","MFL/ COUNCIL/ 
PARTNERS",,,,,
203,2,,,"Construction of 2 
livestock service centers","2 Livestock Service 
Centres constructed","600,000  MFL",,,,,,
203,2,,,"Construction of Animal 
Health Infrastructure(16 
Dip tanks)",16 dip tanks constructed,"3,360,000","MFL/ COUNCIL/ 
PARTNERS",,,,,
203,2,,,"Construction of 1 
livestock breeding 
center","1 livestock breeding 
centre constructed","250,000  MFL",,,,,,
204,3,,,"Construction of 1 
Livestock market center","1 livestock market centre 
constructed","300,000  MLF",,,,,,
204,3,,,"Construction of 2 
Slaughter facilities","2 slaughter facilities 
constructed","400,000",LA/MFL,,,,,
204,3,,,"Construction of 3 
storage sheds","3 storage sheds 
constructed","3,000,000  MOA",,,,,,
204,3,,,"Construction of a 
fingerling production 
Centre","1 fingerling production 
Centre constructed","1,500,000  MFL",,,,,,
204,3,,,"Construction of fish feed 
production Centre","1 fish feed production 
Centre constructed","2,500,000  MFL",,,,,,
204,3,,"b)Agricultural 
mechanizatio
n","Increase access to 
mechanization by 
farmers by linking 
farmers to partners such 
as equipment suppliers","Area under smallholder 
mechanized farming 
increased to 475 Ha","250,000  MOA, PARTNERS",,,,,,
