Source_Page,Table_Number,0,1,2,3,4,5,6,7,8,9,10
156,1,ECONOMIC TRANSFORMATION AND JOB CREATION,,,,,,,,,,
156,1,Objective: To become an industrialised and diversified district by 2033,,,,,,,,,,
156,1,Strategies,Programmes,Sub Program,Location,YR 1,YR 2,YR 3,YR 4,YR 5,Responsible,
156,1,"Improve 
Agricultural 
Production and 
Productivity","a)Infrastructure 
Development","Construction of 13 staff houses for 
agricultural extension officers (2 for block 
officers and 11 for camp officers)","Chankumba and Chisamba blocks 
  
Kanakantapa, Ploughman 
B,Chisamba 
central,Lwamabwe,Lukoshi,Lombwa,N
alufwi,Mulungushi 
Agro,Mwapula,Kasosolo and 
Mwantaya",,3,3,3,4,MOA,
156,1,,,"Rehabilitation of  12 camp houses for 
agricultural extension officers","Ploughmans 
B,Chowa,Bombwe,Chikokomene,Lifwa
mbula/3,Muswishi/4 and Chipembi",,3,3,3,3,MOA,
156,1,,,"Construction of  7 Veterinary camp 
houses",All veterinary camps,,1,2,2,2,MFL,
156,1,,,"Rehabilitation of 5 veterinary camp 
houses","2 Lifwambula, 2 Chipembi, 1 
Chisamba central",,2,1,1,1,MFL,
156,1,,,"Construction of 2 livestock service 
centers","Chisamba central and Muswishi 
camps",,1,,1,,MFL,
157,2,,,"Construction of Animal Health 
Infrastructure( 16 Dip tanks)","3 Chisamba Central, 3 chisamba 
west,  4 lifwambula, 3 muswishi,3 
chipembi",,4,4,4,4,MFL,
157,2,,,"Construction of 1 livestock breeding 
center",Muswishi camp,,,1,,,MFL,
157,2,,,"Construction of 1 Livestock market 
center","Chisamba west camp-John chinena 
area",,1,,,,MLF,
157,2,,,Construction of 2 Slaughter facilities,"Chisamba west camp-John chinena 
area and Muswishi camp",,,1,,1,LA/MFL,
157,2,,,Construction of 3 storage sheds,"Kanakantapa, Nalufwi and Bombwe",,,1,1,1,MOA,
157,2,,,"Construction of a fingerling production 
centre",New chisamba,,,1,,,MFL,
157,2,,,"Construction of fish feed production 
centre",New chisamba,,,,,1,MFL,
157,2,,"b)Agricultural 
mechanisation","Increase access to mechanisation by 
farmers by linking farmers to partners 
such as equipment suppliers","All camps, including the 14 earmarked 
for creation",1,1,1,1,1,"MOA, 
PARTNERS",
157,2,,"c)Enhanced 
farmer support","Provision of Farmer Input Support to 
farmers under the FISP to 16416","All camps, including the 14 earmarked 
for creation","1641
6",16416,16416,16416,"1641
6",MOA,
157,2,,"e) Agribusiness 
development","Conduct 30 sensitization meetings on 
agricultural marketing system","Nalufwi, Chowa, Chisamba central, 
Lifwambula, Chisamba ranch and 
Kamano",6,6,6,6,6,MOA,
157,2,,,"Conduct 5 sensitization meetings to 
promote  Animal Identification 
registration-Brand Mark",All veterinary camps,5,,,,,MFL,
157,2,,,"Training of 1506 Livestock farmers in 
livestock farming as a business","Muswishi, Chipembi, Lifambula, 
Chisamba Central, Chisamba west",,556,500,450,,MFL,
157,2,,,"Training of 20 individual fish farmers and 
4 cooperatives in fish farming as a 
business",All wards,"4 
Coo
perat
ives","20 ind 
farmers",,,,MFL,
157,2,,,"Establishment of 3 value chains while 
strengthening existing ones","Momboshi, Chipembi, Chankumba 
and Muswishi camps",,1,1,1,,MOA/ MFL,
157,2,,,"Establishment of one Agro processing 
plant",Chankumba block,,,,1,,MOA,
157,2,,,Increase access to credit facilities,"All camps, including the 14 earmarked 
for creation",1,1,1,1,1,MOA,
158,3,,"f) Irrigation 
development",Construction of 3 dams,"Muswishi  block, Chisamba block, 
Chankumba",1,,1,,1,"MOA, MWDS",
158,3,,,Construction of 10 weirs,"Lukoshi,Kanakantapa and Nalufwi, 
Lwamabwe, Momboshi, Kaputi, 
Lifwambula, Chikonkomene, Muswishi, 
Mulungushi Agro",7,,1,1,1,"MOA, 
C/PARTNERS",
158,3,,"g) Fisheries and 
aquaculture 
development","Enhance the participation of youth 
groups in aquaculture by linking 3 
groups per year to CDF grants",,3,3,3,3,3,,
158,3,,,"Conduct 2 assessments of Fishery areas 
for breeding","Recommendation for assessment-
Moroboshi dam and Mulungushi Agro 
Dam",,1,1,,,MFL,
158,3,,"i) Livestock 
development","To enhance Animal disease prevention 
and control by vaccinating at least 
50,000 cattle against FMD yearly",All veterinary camps,"5000
0",50000,50000,50000,"5000
0",MFL,
158,3,,,"To enhance Animal disease prevention 
and control by vaccinating at least 2000 
calves against ECF yearly",All veterinary camps,2000,2000,2000,2000,2000,MFL,
158,3,,,"Conduct 5 sensitisation meetings to 
promote  Animal Identification 
registration-Brand Mark",All veterinary camps,5,,,,,MFL,
158,3,,"j) Extension 
services support","Increase the number of agricultural 
camps from the current 16 to 25 (Create 
9 more by subdividing the existing 
camps)","Subdivide Kanakantapa and 
Chipembi into 3 camps each, 
Muswishi, Chowa, Bombwe, 
Ploughmans B and Chikonkomene into 
2 camps each",9,,,,,MOA,
158,3,,,"Create 2 more camps to Increase the 
number of Veterinary camps from the 
current 5 to 7 (by subdividing the existing 
camps)","Subdivide Muswishi and Chipembi 
camps into 2 each",,2,,,,MFL,
158,3,,,"Increase the number of extension 
workers in the camps by employing 6 
agricultural extension staff in addition to 
the current 19","All camps, including the 9 earmarked 
for creation",,2,2,2,,MOA,
158,3,,,"Employ 18 more extension staff under 
fisheries and livestock (8 VAs & 10 LAs)","All camps,",2,4,4,4,4,MFL,
158,3,,,"Procurement of 35 motorbikes for 
agricultural and veterinary camp officers",All camps (Vet and Agric),,5,10,10,10,MOA/ MFL,
158,3,,,"Training of 5, 000 farmers in Climate 
Smart Agriculture","All camps, including the 9 earmarked 
for creation","1,000","1,000","1,000","1,000","1,000",MOA,
159,4,,"k) Early warning 
and surveillance 
systems","Conduct 1 crop monitoring survey each 
year from November to May annually","All camps, including the 9 earmarked 
for creation",1,1,1,1,1,MOA,
159,4,"Chisamba shall 
promote 
Traditional and 
Non-Traditional 
minerals","Mineral and 
petroleum 
Exploration and 
exploitation","Hold 2 investment attracting campaigns 
per year",National and provincial shows,2,2,2,2,2,"Ministry of 
Mines and 
Minerals 
Developmen
t/ MSME/ 
District 
Admin, 
Council",
159,4,,"Artisanal and 
small-scale 
mining 
development","Hold 6 sensitisation campaigns per year 
to promote the creation of  mining 
Cooperatives","All mining locations in the District 
(Kamano, Chamuka and Mwantaya, 
Mulungushi and Chikonkomene wards)",6,6,6,6,6,"Ministry of 
Mines and 
Minerals 
Developmen
t/ MSME/ 
District 
Admin, 
Council",
159,4,,"Proportion of 
Cooperatives 
linked to mining 
value chains","Link all (100%) mining cooperatives to 
mining value chains","All mining locations in the District 
(Kamano, Chamuka and Mwantaya, 
Mulungushi and Chikonkomene wards)",,100%,100%,100%,100%,"Ministry of 
Mines and 
Minerals 
Developmen
t/ MSME/ 
District 
Admin, 
Council",
159,4,"Chisamba will 
promote value 
addition and 
manufacturing","Capacity 
building","Conduct training of 4800 farmers yearly 
on post harvest handling losses /crop 
quality improvement","Chowa, Kanakantapa, Muswishi, 
Chikonkomene and Chipembi camps",4800,4800,4800,4800,4800,MOA,
159,4,,,Training of 1000 farmers in packaging,"Nalufwi, Momboshi, Lwamabwe, 
Chankumba and Chowa",200,200,200,200,200,"MCTI, MOA 
MFL",
159,4,,,"Training of 1,000 farmers in processing","Nalufwi, Momboshi, Lwamabwe, 
Chankumba and Chowa",200,200,200,200,200,"MCTI, MOA, 
MFL/MSME",
159,4,,Market linkages,"Enhancement of 10 market linkages for  
Cooperatives","All camps, including the 9 earmarked 
for creation",2,2,2,2,2,"MCTI, MOA 
MFL/ MSME",
159,4,,,"Linking 15 livestock cooperatives to 
market",All camps,,3,4,4,4,MFL/ MSME,
159,4,,,Linking four fish cooperatives to markets,"Lifwamba  camp,chisamba 
camp,chipembi camp",,2,2,,,MFL/ MSME,
160,5,"Chisamba shall 
promote tourism 
growth","Tourism related 
infrastructure 
developed, 
rehabilitated 
and maintained",,"1 heritage site in chikonkomene 
(Kalwelwe Hills) developed",Kalwelwe hills,,,,1,,"Ministry of 
tourism and 
arts"
160,5,,,,"1 private lodge at the New Boma 
developed",New Chisamba,,,,,1,"Ministry of 
tourism and 
arts"
160,5,,,,"1  new Cultural Villages constructed at 
the new Boma",New Chisamba,,,,,1,"Ministry of 
tourism and 
arts"
160,5,"Chisamba will 
enhance 
generation, 
transmission and 
distribution of 
electricity","Green and 
renewable 
plants set up",,3 solar plants set up,"1 at Fig Tree substation, 1 in 
chikonkomene ward and Mulungushi",1,2,,,,"ZESCO/Partn
ers"
