SN,PROJECT NAME,PROJECT DESCRIPTION,WARD,ZONE,"SECTOR OF
PROJECT"
1,"PROCUREMENT OF AMBULANCE FOR CHISAMBA
CONSTITUENCY","PROCUREMENT OF AMBULANCE FOR
CHISAMBA CONSTITUENCY",ALL,ALL,HEALTH
2,"MOTOR BIKE FOR THE CHIEF'S RETAINER FOR HRH
CHIEF CHAMUKA","MOTOR BIKE FOR THE CHIEF'S
RETAINER FOR HRH CHIEF CHAMUKA",CHAMUKA,CHAMUKA,TRANSPORT
3,"CONSTRUCTION OF MATERNITY ANNEX AT
LOMBWA HEALTH POST","CONSTRUCTION OF MATERNITY ANNEX
AT LOMBWA HEALTH POST",MULUNGUSHI,LOMBWA,HEALTH
4,"CONSTRUCTION OF MATERNITY ANNEX AT
KABANGA HEALTH POST","CONSTRUCTION OF MATERNITY ANNEX
AT KABANGA HEALTH POST",CHIKONKOMENE,KABANGA,HEALTH
5,"CONSTRUCTION OF MATERNITY ANNEX AT MISWA
HEALTH POST","CONSTRUCTION OF MATERNITY ANNEX
AT MISWA HEALTH POST",MISWA,,HEALTH
6,"CONSTRUCTION OF MATERNITY ANNEX AT
MUPELEKESE HEALTH POST","CONSTRUCTION OF MATERNITY ANNEX
AT MUPELEKESE HEALTH POST",MWAPULA,MUPELEKESE,HEALTH
7,"CONSTRUCTION OF MATERNITY ANNEX AT
LUKOSHI HEALTH POST","CONSTRUCTION OF MATERNITY ANNEX
AT LUKOSHI HEALTH POST",MUTENGA,LUKOSHI,HEALTH
8,"CONSTRUCTION OF MATERNITY ANNEX AT
KAMANO HEALTH POST","CONSTRUCTION OF MATERNITY ANNEX
AT KAMANO HEALTH POST",KAMANO,KAMANO,HEALTH
9,"CONSTRUCTION OF MATERNITY ANNEX AT
MONANG'OMBE","CONSTRUCTION OF MATERNITY ANNEX
AT MONANG'OMBE",MONAGOMBE,MONAGOMBE,HEALTH
10,"CONSTRUCTION OF STAFF HOUSE AT MUSWISHI
HEALTH POST","CONSTRUCTION OF STAFF HOUSE AT
MUSWISHI HEALTH POST",MUSWISHI,MUSWISHI,HEALTH
11,"CONSTRUCTION OF ABLUTION BLOCK AT
MUSWISHI HEALTH POST","CONSTRUCTION OF ABLUTION BLOCK
AT MUSWISHI HEALTH POST",MUSWISHI,MUSWISHI,HEALTH
12,PROCUREMENT OF A TIPPER TRUCK,PROCUREMENT OF A TIPPER TRUCK,ALL,ALL,"ROAD
DEVELOPMENT"
13,"PROCUREMENT OF CULVERTS, FUELS, OILS,
MAINTENANCE OF EQUIPMENT FOR ROAD WORKS","PROCUREMENT OF CULVERTS, FUELS,
OILS, MAINTENANCE OF EQUIPMENT
FOR ROAD WORKS",ALL,ALL,"ROAD
DEVELOPMENT"
SN,PROJECT NAME,PROJECT DESCRIPTION,WARD,ZONE,"SECTOR OF
PROJECT"
1,"TOP UP ON REHABILITATION OF TEACHERS' STAFF
HOUSES AT KAPUTI PRIMARY SCHOOL","TOP UP ON REHABILITATION OF
TEACHERS' STAFF HOUSES AT KAPUTI
PRIMARY SCHOOL",CHAMUKA,KAPUTI,EDUCATION
2,"REHABILITATION OF 1X3 CLASSROOM BLOCK AT
MOMBOSHI SCHOOL","REHABILITATION OF 1X3 CLASSROOM
BLOCK AT MOMBOSHI SCHOOL",MUTENGA,MOMBOSHI,EDUCATION
3,"REHABILITATION OF TEACHER’S STAFF HOUSE AT
MOMBOSHI SCHOOL","REHABILITATION OF TEACHER’S STAFF
HOUSE AT MOMBOSHI SCHOOL",MUTENGA,MOMBOSHI,EDUCATION
4,REHABILITATION OF KASAVASA ROAD,REHABILITATION OF KASAVASA ROAD,MISWA/MUTENGA,MISWA/MUTENGA,INFRASTRUCTURE
5,CONSTRUCTION OF VIP TOILET,"CONSTRUCTION OF VIP TOILET AT
BOMBWE PRIMARY SCHOOL",MULUNGUSHI,BOMBWE,EDUCATION
