project_id|financial_year|project_name|project_description|sector|ward|zone|source_document|source_url|date_extracted
CHIS-2025-001|2025|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT MUTABA COMMUNITY SCHOOL|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT MUTABA COMMUNITY SCHOOL|Education|Chisamba Ward|Mutaba|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-002|2025|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT MUCHINGA COMMUNITY SCHOOL|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT MUCHINGA COMMUNITY SCHOOL|Education|Chamuka Ward|Luano|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-003|2025|CONTRUCTION OF A 1X2 CRB AT MAKENI|CONTRUCTION OF A 1X2 CRB AT MAKENI|Education|Kamano Ward|Chalampa|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-004|2025|CONSTRUCTION OF STAFF HOUSE AT KAMANO MATERNITY ANNEX|CONSTRUCTION OF STAFF HOUSE AT KAMANO MATERNITY ANNEX|Health|Kamano Ward|Kamano|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-005|2025|CONTRUCTION OF A MATERNITY ANNEX AT MWANTAYA CLINIC|CONTRUCTION OF A MATERNITY ANNEX AT MWANTAYA CLINIC|Health|Mwantaya Ward|Mwantaya|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-006|2025|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT NALUFWI PRIMARY SCHOOL|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT NALUFWI PRIMARY SCHOOL|Education|Liteta Ward|Nalufwi|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-007|2025|DRILLING OF A BOREHOLE AT PUKUMA B / TUSHOMEKE COMMUNITY|DRILLING OF A BOREHOLE AT PUKUMA B / TUSHOMEKE COMMUNITY|Water And Sanitation|Liteta Ward|Nalufwi|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-008|2025|CONSTRUCTION OF 1X3 AT MONANG'OMBE PRIMARY SCHOOL|CONSTRUCTION OF 1X3 AT MONANG'OMBE PRIMARY SCHOOL|Education|Monang'ombe Ward|Monang'Ombe|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-009|2025|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT KAMULOBWE PRIMARY SCHOOL|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT KAMULOBWE PRIMARY SCHOOL|Education|Monang'ombe Ward|Kamulobwe|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-010|2025|CONSTRUCTION OF 1X3 AT MISWA COMMUNITY|CONSTRUCTION OF 1X3 AT MISWA COMMUNITY|Education|Miswa Ward|Chabusha|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-011|2025|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT NANSAMBILA COMMUNITY SCHOOL|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT NANSAMBILA COMMUNITY SCHOOL|Education|Mulungushi Ward|Bombwe|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-012|2025|CONSTRUCTION OF A STAFF HOUSE AT THE MATERNITY ANNEX AT LOMBWA|CONSTRUCTION OF A STAFF HOUSE AT THE MATERNITY ANNEX AT LOMBWA|Health|Mulungushi Ward|Lombwa|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-013|2025|CONSTRUCTION OF A STAFF HOUSE AT MULUNGUSHI AGRO|CONSTRUCTION OF A STAFF HOUSE AT MULUNGUSHI AGRO|Education|Mulungushi Ward|Mulungushi Agro|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-014|2025|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT BRUNELLI|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT BRUNELLI|Education|Muswishi Ward|Brunelli|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-015|2025|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT KASOSOLO SECONDARY SCHOOL|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT KASOSOLO SECONDARY SCHOOL|Education|Muswishi Ward|Kasosolo|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-016|2025|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT MWAPULA PRIMARY SCHOOL|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT MWAPULA PRIMARY SCHOOL|Education|Mwapula Ward|Mwapula|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-017|2025|CONSTRUCTION OF A 1X3 CLASSROOM BLOCK AT KAPANI|CONSTRUCTION OF A 1X3 CLASSROOM BLOCK AT KAPANI|Education|Chikonkomena Ward|Kapani|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
CHIS-2025-018|2025|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT MUFUNDA PRIMARY SCHOOL|CONSTRUCTION OF 1X3 CLASSROOM BLOCK AT MUFUNDA PRIMARY SCHOOL|Education|Mutenga Ward|Mufunda|Chisamba 2025 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-14
