project_id|financial_year|project_name|project_description|sector|ward|zone|source_document|source_url|date_extracted
CHIS-001|2024|PROCUREMENT OF AMBULANCE FOR CHISAMBA CONSTITUENCY|PROCUREMENT OF AMBULANCE FOR CHISAMBA CONSTITUENCY|Health|All Wards|All Zones|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-002|2024|MOTOR BIKE FOR THE CHIEF'S RETAINER FOR HRH CHIEF CHAMUKA|MOTOR BIKE FOR THE CHIEF'S RETAINER FOR HRH CHIEF CHAMUKA|Transport|Chamuka Ward|Chamuka|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-003|2024|CONSTRUCTION OF MATERNITY ANNEX AT LOMBWA HEALTH POST|CONSTRUCTION OF MATERNITY ANNEX AT LOMBWA HEALTH POST|Health|Mulungushi Ward|Lombwa|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-004|2024|CONSTRUCTION OF MATERNITY ANNEX AT KABANGA HEALTH POST|CONSTRUCTION OF MATERNITY ANNEX AT KABANGA HEALTH POST|Health|Chikonkomena Ward|Kabanga|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-005|2024|CONSTRUCTION OF MATERNITY ANNEX AT MISWA HEALTH POST|CONSTRUCTION OF MATERNITY ANNEX AT MISWA HEALTH POST|Health|Miswa Ward||Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-006|2024|CONSTRUCTION OF MATERNITY ANNEX AT MUPELEKESE HEALTH POST|CONSTRUCTION OF MATERNITY ANNEX AT MUPELEKESE HEALTH POST|Health|Mwapula Ward|Mupelekese|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-007|2024|CONSTRUCTION OF MATERNITY ANNEX AT LUKOSHI HEALTH POST|CONSTRUCTION OF MATERNITY ANNEX AT LUKOSHI HEALTH POST|Health|Mutenga Ward|Lukoshi|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-008|2024|CONSTRUCTION OF MATERNITY ANNEX AT KAMANO HEALTH POST|CONSTRUCTION OF MATERNITY ANNEX AT KAMANO HEALTH POST|Health|Kamano Ward|Kamano|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-009|2024|CONSTRUCTION OF MATERNITY ANNEX AT MONANG'OMBE|CONSTRUCTION OF MATERNITY ANNEX AT MONANG'OMBE|Health|Monang'ombe Ward|Monagombe|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-010|2024|CONSTRUCTION OF STAFF HOUSE AT MUSWISHI HEALTH POST|CONSTRUCTION OF STAFF HOUSE AT MUSWISHI HEALTH POST|Health|Muswishi Ward|Muswishi|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-011|2024|CONSTRUCTION OF ABLUTION BLOCK AT MUSWISHI HEALTH POST|CONSTRUCTION OF ABLUTION BLOCK AT MUSWISHI HEALTH POST|Health|Muswishi Ward|Muswishi|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-012|2024|PROCUREMENT OF A TIPPER TRUCK|PROCUREMENT OF A TIPPER TRUCK|Road Development|All Wards|All Zones|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-013|2024|PROCUREMENT OF CULVERTS, FUELS, OILS, MAINTENANCE OF EQUIPMENT FOR ROAD WORKS|PROCUREMENT OF CULVERTS, FUELS, OILS, MAINTENANCE OF EQUIPMENT FOR ROAD WORKS|Road Development|All Wards|All Zones|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-014|2024|TOP UP ON REHABILITATION OF TEACHERS' STAFF HOUSES AT KAPUTI PRIMARY SCHOOL|TOP UP ON REHABILITATION OF TEACHERS' STAFF HOUSES AT KAPUTI PRIMARY SCHOOL|Education|Chamuka Ward|Kaputi|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-015|2024|REHABILITATION OF 1X3 CLASSROOM BLOCK AT MOMBOSHI SCHOOL|REHABILITATION OF 1X3 CLASSROOM BLOCK AT MOMBOSHI SCHOOL|Education|Mutenga Ward|Momboshi|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-016|2024|REHABILITATION OF TEACHER’S STAFF HOUSE AT MOMBOSHI SCHOOL|REHABILITATION OF TEACHER’S STAFF HOUSE AT MOMBOSHI SCHOOL|Education|Mutenga Ward|Momboshi|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-017|2024|REHABILITATION OF KASAVASA ROAD|REHABILITATION OF KASAVASA ROAD|Infrastructure|Miswa/Mutenga Ward|Miswa/Mutenga|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
CHIS-018|2024|CONSTRUCTION OF VIP TOILET|CONSTRUCTION OF VIP TOILET AT BOMBWE PRIMARY SCHOOL|Education|Mulungushi Ward|Bombwe|Chisamba 2024 CDF Approved Projects|https://www.chisambacouncil.gov.zm/|2026-09-13
